X,Y,Z,
5.27965,0.0723748,1.39702,
5.29844,0.0725237,1.39691,
5.30551,0.0725798,1.39688,
5.31258,0.0726358,1.39684,
5.31965,0.0726917,1.3968,
5.32672,0.0727476,1.39676,
5.3338,0.0728035,1.39672,
5.34087,0.0728594,1.39668,
5.34555,0.0728964,1.39666,
5.34672,0.0729056,1.39665,
5.34731,0.0729102,1.39665,
5.34745,0.0729114,1.39665,
5.34747,0.0729115,1.39665,
5.34748,0.0729116,1.39665,
5.34748,0.0729116,1.39665,
5.34748,0.0729116,1.39665,
-0.232841,0.0316179,1.48651,
-0.232841,0.0317496,1.48649,
-0.23284,0.0319011,1.48647,
-0.232838,0.0320583,1.48645,
-0.232835,0.0322165,1.48644,
-0.232831,0.0323773,1.48642,
-0.232824,0.0325432,1.4864,
-0.232815,0.032727,1.48638,
-0.232804,0.0329105,1.48636,
-0.232792,0.033094,1.48634,
-0.232786,0.0331861,1.48633,
-0.232783,0.0332322,1.48632,
-0.232782,0.0332425,1.48632,
-0.232782,0.0332476,1.48632,
-0.232781,0.0332533,1.48632,
-0.232781,0.0332619,1.48632,
-0.23278,0.0332748,1.48632,
-0.232778,0.0332941,1.48632,
-0.232776,0.033323,1.48631,
-0.232772,0.0333663,1.48631,
-0.232766,0.033431,1.4863,
-0.232755,0.0335279,1.48629,
-0.232737,0.0336724,1.48627,
-0.23271,0.0338519,1.48624,
-0.232677,0.0340303,1.48622,
-0.232642,0.0341995,1.48619,
-0.232603,0.0343673,1.48616,
-0.23256,0.0345348,1.48614,
-0.23251,0.0347101,1.4861,
-0.232456,0.034884,1.48607,
-0.232401,0.0350434,1.48605,
-0.232344,0.0352018,1.48602,
-0.232284,0.0353609,1.48599,
-0.232205,0.0355599,1.48595,
-0.232123,0.0357562,1.48591,
-0.232051,0.0359197,1.48588,
-0.231976,0.036086,1.48585,
-0.23188,0.0362942,1.48581,
-0.231781,0.0365014,1.48577,
-0.23168,0.0367076,1.48573,
-0.231601,0.0368659,1.4857,
-0.231521,0.0370243,1.48567,
-0.231438,0.0371844,1.48563,
-0.231329,0.0373919,1.48559,
-0.231217,0.0375985,1.48555,
-0.231104,0.0378041,1.48551,
-0.230988,0.0380087,1.48547,
-0.230869,0.0382139,1.48543,
-0.230734,0.0384414,1.48539,
-0.230595,0.0386691,1.48534,
-0.230379,0.0390152,1.48527,
-0.230156,0.0393626,1.4852,
-0.230037,0.0395445,1.48516,
-0.229854,0.0398212,1.4851,
-0.229731,0.0400041,1.48506,
-0.229544,0.0402803,1.485,
-0.229356,0.0405555,1.48494,
-0.229167,0.0408298,1.48488,
-0.228977,0.0411031,1.48482,
-0.228784,0.0413771,1.48476,
-0.228486,0.0417887,1.48467,
-0.228181,0.0422004,1.48457,
-0.22782,0.0426764,1.48447,
-0.227455,0.0431494,1.48437,
-0.227082,0.0436233,1.48427,
-0.226554,0.0442781,1.48413,
-0.22601,0.0449291,1.48398,
-0.225412,0.0456189,1.48382,
-0.225005,0.0460736,1.48372,
-0.224615,0.0464992,1.48362,
-0.224195,0.0469491,1.48351,
-0.223765,0.0474025,1.48341,
-0.223561,0.0476144,1.48336,
-0.223355,0.0478269,1.48332,
-0.223149,0.0480384,1.48327,
-0.222941,0.048249,1.48322,
-0.222733,0.0484586,1.48317,
-0.222523,0.0486678,1.48312,
-0.222297,0.0488908,1.48307,
-0.221974,0.0492014,1.48299,
-0.221643,0.0495149,1.48292,
-0.221437,0.0497067,1.48288,
-0.221229,0.0498972,1.48283,
-0.22102,0.0500874,1.48279,
-0.220565,0.050497,1.4827,
-0.220196,0.0508223,1.48262,
-0.219825,0.0511447,1.48254,
-0.219524,0.0514021,1.48248,
-0.219245,0.051639,1.48242,
-0.218964,0.0518745,1.48236,
-0.218682,0.052109,1.4823,
-0.218398,0.0523418,1.48224,
-0.218113,0.0525731,1.48218,
-0.217826,0.0528027,1.48212,
-0.217539,0.0530308,1.48206,
-0.21725,0.0532574,1.482,
-0.216999,0.0534514,1.48195,
-0.216746,0.0536435,1.4819,
-0.216492,0.0538336,1.48185,
-0.216236,0.0540225,1.4818,
-0.215875,0.0542854,1.48174,
-0.215511,0.0545483,1.48167,
-0.215147,0.0548098,1.4816,
-0.214781,0.0550714,1.48153,
-0.214418,0.0553311,1.48146,
-0.214053,0.0555899,1.4814,
-0.213686,0.0558472,1.48133,
-0.213234,0.056159,1.48126,
-0.212643,0.05656,1.48116,
-0.211879,0.0570652,1.48102,
-0.21119,0.0575066,1.4809,
-0.210597,0.0578754,1.4808,
-0.21,0.0582377,1.4807,
-0.209413,0.0585858,1.4806,
-0.208893,0.0588882,1.48052,
-0.208371,0.0591874,1.48043,
-0.207859,0.0594773,1.48035,
-0.20735,0.0597611,1.48028,
-0.206839,0.0600427,1.4802,
-0.205933,0.0605301,1.48007,
-0.20501,0.0610095,1.47994,
-0.204086,0.0614757,1.47981,
-0.203157,0.0619334,1.47969,
-0.202379,0.0623086,1.47959,
-0.201599,0.0626761,1.47949,
-0.200817,0.0630361,1.4794,
-0.199955,0.0634238,1.4793,
-0.198759,0.0639479,1.47916,
-0.197552,0.0644617,1.47903,
-0.196363,0.0649528,1.47891,
-0.195172,0.0654285,1.47879,
-0.193972,0.0658906,1.47868,
-0.192592,0.0664036,1.47856,
-0.191005,0.0669709,1.47843,
-0.189409,0.0675166,1.47831,
-0.187798,0.0680467,1.4782,
-0.186131,0.0685818,1.47809,
-0.184461,0.0691085,1.478,
-0.182922,0.0695821,1.47792,
-0.18139,0.0700397,1.47785,
-0.17986,0.070485,1.47779,
-0.177998,0.071016,1.47773,
-0.175859,0.0716084,1.47766,
-0.174324,0.0720198,1.47763,
-0.172777,0.0724219,1.47759,
-0.171227,0.0728131,1.47756,
-0.170283,0.0730457,1.47754,
-0.169336,0.0732755,1.47753,
-0.168395,0.0735014,1.47752,
-0.166937,0.0738476,1.47751,
-0.165471,0.074191,1.47752,
-0.163866,0.0745606,1.47753,
-0.162233,0.074929,1.47754,
-0.159883,0.0754476,1.47757,
-0.157529,0.075954,1.47761,
-0.155067,0.0764724,1.47767,
-0.152604,0.0769821,1.47776,
-0.150743,0.0773603,1.47784,
-0.148546,0.0777972,1.47794,
-0.146348,0.0782218,1.47806,
-0.143879,0.0786851,1.47819,
-0.141409,0.0791354,1.47834,
-0.138784,0.0796017,1.47852,
-0.136246,0.080044,1.4787,
-0.133715,0.0804776,1.47889,
-0.131648,0.0808231,1.47905,
-0.129524,0.0811659,1.47921,
-0.126725,0.0815997,1.47944,
-0.123933,0.0820199,1.47966,
-0.120979,0.0824526,1.47991,
-0.118052,0.0828715,1.48018,
-0.115938,0.0831673,1.48037,
-0.113834,0.0834537,1.48058,
-0.110551,0.0838829,1.4809,
-0.107324,0.0842816,1.48121,
-0.10468,0.0845912,1.48147,
-0.102036,0.0848873,1.48174,
-0.0994015,0.0851723,1.48201,
-0.096768,0.0854494,1.4823,
-0.0941346,0.0857185,1.48259,
-0.0914998,0.0859799,1.48289,
-0.0871246,0.0863956,1.48341,
-0.0833392,0.0867302,1.48387,
-0.0794914,0.0870413,1.48434,
-0.0745804,0.0873949,1.48495,
-0.069706,0.087711,1.48559,
-0.0648436,0.0879935,1.48627,
-0.061938,0.088143,1.48668,
-0.0590475,0.0882723,1.4871,
-0.0561578,0.0883807,1.48753,
-0.053264,0.0884743,1.48795,
-0.0501105,0.0885654,1.48842,
-0.0469556,0.0886466,1.48888,
-0.0438049,0.0887184,1.48934,
-0.039555,0.0888028,1.48996,
-0.0352876,0.0888721,1.49059,
-0.0299862,0.0889279,1.49138,
-0.0240222,0.0889418,1.49227,
-0.0184877,0.0889058,1.4931,
-0.01298,0.0888188,1.49393,
-0.00752435,0.0886849,1.49476,
-0.00182033,0.0885109,1.49562,
0.0047983,0.0882739,1.49662,
0.00903633,0.0881018,1.49724,
0.0124075,0.0879548,1.49774,
0.015762,0.0878016,1.49824,
0.0191358,0.0876341,1.49874,
0.0228404,0.087428,1.49927,
0.0264992,0.0872026,1.49979,
0.0301567,0.0869525,1.5003,
0.0337797,0.0866816,1.50081,
0.0373266,0.0863976,1.50131,
0.0408714,0.0860964,1.50183,
0.0457108,0.0856634,1.50255,
0.0505526,0.0852067,1.50325,
0.0559615,0.0846602,1.50404,
0.0613717,0.084075,1.50483,
0.0682555,0.0832879,1.50582,
0.0730869,0.0827213,1.50648,
0.0779325,0.0821517,1.50712,
0.0827878,0.0815795,1.50775,
0.0900237,0.080699,1.50867,
0.0972539,0.0797679,1.50957,
0.103183,0.0789656,1.5103,
0.108831,0.0781694,1.51098,
0.114542,0.0773448,1.51164,
0.120247,0.0765182,1.51226,
