cfd-a,cfd-a,sim-a,sim-a,cfd-b,cfd-b,sim-b,sim-b,cfd-c,cfd-c,sim-c,sim-c,cfd-d,cfd-d,sim-d,sim-d,cfd-e,cfd-e,sim-e,sim-e
0.01039,0.03311,0.03852,0.07417,0.01364,0.02428,0.07443,0.06197,0.01598,0.02659,0.10657,0.0462,0.0071,0.03668,0.04345,0.09059,0.00466,0.03856,0.04759,0.10661
0.01095,0.03379,0.03904,0.0745,0.01414,0.02463,0.0754,0.06206,0.0165,0.02685,0.10791,0.04603,0.00756,0.03759,0.04403,0.09099,0.00495,0.0395,0.04821,0.10707
0.01148,0.03442,0.03957,0.07482,0.01468,0.025,0.07638,0.06214,0.01702,0.02712,0.10925,0.04585,0.00804,0.03852,0.04461,0.09138,0.00525,0.04044,0.04882,0.10753
0.01207,0.0351,0.0401,0.07515,0.01523,0.02537,0.07737,0.06222,0.01756,0.0274,0.1106,0.04566,0.00855,0.0395,0.04519,0.09177,0.00557,0.04138,0.04944,0.10798
0.0127,0.03578,0.04063,0.07547,0.01578,0.02573,0.07835,0.06229,0.01811,0.02767,0.11194,0.04547,0.00908,0.04046,0.04576,0.09215,0.00591,0.04236,0.05006,0.10843
0.01334,0.03648,0.04117,0.07578,0.01638,0.02611,0.07933,0.06235,0.01867,0.02795,0.11328,0.04528,0.00961,0.0414,0.04634,0.09253,0.00625,0.04335,0.05068,0.10887
0.014,0.03718,0.0417,0.07609,0.01702,0.02651,0.08031,0.06241,0.01922,0.02822,0.11463,0.04508,0.01013,0.04227,0.04692,0.09291,0.00661,0.04434,0.0513,0.10931
0.01469,0.03789,0.04223,0.0764,0.01769,0.02692,0.0813,0.06247,0.01978,0.0285,0.11597,0.04488,0.01068,0.04316,0.04751,0.09328,0.00703,0.04546,0.05192,0.10975
0.0154,0.03859,0.04277,0.07671,0.01837,0.02733,0.08228,0.06252,0.02041,0.02878,0.11732,0.04467,0.01125,0.04404,0.04809,0.09365,0.00748,0.04661,0.05254,0.11018
0.01623,0.03937,0.0433,0.07701,0.01903,0.02771,0.08327,0.06257,0.02102,0.02906,0.11866,0.04446,0.01184,0.04495,0.04867,0.09401,0.00796,0.04776,0.05316,0.11061
0.01712,0.04019,0.04384,0.0773,0.01967,0.02807,0.08425,0.06261,0.02162,0.02933,0.12001,0.04425,0.01249,0.0459,0.04926,0.09437,0.00849,0.04898,0.05378,0.11103
0.01793,0.0409,0.04438,0.0776,0.0203,0.02841,0.08524,0.06265,0.02222,0.0296,0.12135,0.04404,0.01312,0.0468,0.04984,0.09473,0.00902,0.05014,0.0544,0.11145
0.01872,0.04159,0.04491,0.07789,0.02099,0.02878,0.08623,0.06269,0.02287,0.02988,0.1227,0.04382,0.01377,0.04771,0.05043,0.09508,0.00956,0.05129,0.05503,0.11186
0.01954,0.04229,0.04545,0.07818,0.02171,0.02917,0.08722,0.06272,0.02353,0.03018,0.12405,0.0436,0.01444,0.04861,0.05101,0.09543,0.01015,0.0525,0.05565,0.11227
0.0204,0.04298,0.04599,0.07846,0.02244,0.02955,0.0882,0.06274,0.02423,0.03048,0.1254,0.04337,0.01514,0.04954,0.0516,0.09578,0.01077,0.05373,0.05628,0.11268
0.02132,0.04372,0.04653,0.07874,0.02325,0.02996,0.08919,0.06277,0.02493,0.03077,0.12674,0.04314,0.01588,0.05053,0.05219,0.09612,0.01143,0.05499,0.0569,0.11309
0.02227,0.04446,0.04708,0.07902,0.02412,0.03039,0.09018,0.06279,0.02568,0.03108,0.12809,0.04291,0.01664,0.0515,0.05278,0.09646,0.01211,0.05627,0.05753,0.11348
0.02324,0.04521,0.04762,0.0793,0.025,0.03082,0.09117,0.0628,0.02649,0.0314,0.12944,0.04268,0.01742,0.05245,0.05337,0.0968,0.01286,0.05761,0.05816,0.11388
0.02423,0.04593,0.04816,0.07957,0.02589,0.03124,0.09216,0.06281,0.02726,0.0317,0.1308,0.04245,0.01828,0.05345,0.05396,0.09713,0.01369,0.05901,0.05878,0.11427
0.02523,0.04665,0.0487,0.07984,0.02678,0.03166,0.09315,0.06282,0.02807,0.03201,0.13215,0.04221,0.01916,0.05445,0.05455,0.09746,0.0145,0.06035,0.05941,0.11466
0.02626,0.04737,0.04925,0.0801,0.0277,0.03207,0.09415,0.06282,0.02893,0.03234,0.1335,0.04197,0.02006,0.05549,0.05514,0.09778,0.01535,0.06172,0.06004,0.11505
0.02741,0.04815,0.04979,0.08037,0.02859,0.03246,0.09514,0.06282,0.0298,0.03267,0.13486,0.04173,0.02102,0.05654,0.05573,0.0981,0.01625,0.06312,0.06067,0.11543
0.02857,0.04889,0.05034,0.08063,0.02951,0.03285,0.09613,0.06282,0.03067,0.03299,0.13621,0.04149,0.02207,0.05764,0.05632,0.09842,0.01718,0.06453,0.0613,0.1158
0.02973,0.04959,0.05089,0.08088,0.03049,0.03326,0.09712,0.06281,0.03156,0.03332,0.13757,0.04125,0.02316,0.05877,0.05692,0.09874,0.01812,0.06592,0.06193,0.11618
0.03095,0.05031,0.05143,0.08114,0.03149,0.03368,0.09812,0.0628,0.03243,0.03364,0.13892,0.041,0.02432,0.05992,0.05751,0.09905,0.01906,0.06728,0.06256,0.11655
0.03211,0.05099,0.05198,0.08139,0.03251,0.0341,0.09911,0.06278,0.03334,0.03398,0.14028,0.04075,0.02549,0.06104,0.05811,0.09936,0.02012,0.06874,0.0632,0.11692
0.0333,0.05168,0.05253,0.08164,0.03351,0.03451,0.1001,0.06277,0.03428,0.03433,0.14164,0.0405,0.02673,0.0622,0.0587,0.09967,0.0211,0.0701,0.06383,0.11728
0.03445,0.05235,0.05308,0.08188,0.03455,0.03492,0.1011,0.06274,0.03525,0.03467,0.143,0.04025,0.02798,0.06331,0.0593,0.09997,0.02217,0.07152,0.06446,0.11764
0.03575,0.05309,0.05363,0.08213,0.03565,0.03535,0.10209,0.06272,0.03628,0.03503,0.14436,0.04,0.02935,0.06447,0.05989,0.10027,0.02327,0.07298,0.0651,0.118
0.037,0.05379,0.05418,0.08237,0.03683,0.0358,0.10309,0.06269,0.03733,0.03538,0.14573,0.03975,0.03071,0.06561,0.06049,0.10057,0.02445,0.07449,0.06573,0.11835
0.03825,0.05447,0.05473,0.0826,0.03793,0.03621,0.10408,0.06266,0.03838,0.03573,0.14709,0.0395,0.03205,0.06672,0.06109,0.10086,0.0257,0.07604,0.06637,0.1187
0.03953,0.05517,0.05528,0.08284,0.03905,0.03661,0.10508,0.06263,0.03942,0.03608,0.14846,0.03924,0.03341,0.06783,0.06169,0.10115,0.02703,0.07759,0.067,0.11905
0.04088,0.0559,0.05584,0.08307,0.04024,0.03704,0.10608,0.06259,0.04053,0.03644,0.14983,0.03899,0.03482,0.06894,0.06229,0.10144,0.0284,0.07912,0.06764,0.1194
0.04233,0.05663,0.05639,0.0833,0.04145,0.03746,0.10707,0.06256,0.04165,0.0368,0.15119,0.03873,0.03636,0.07011,0.06289,0.10173,0.02974,0.08056,0.06828,0.11974
